Name	Symbol
Williams syndrome	RFC2
Williams syndrome	NCF1
Williams syndrome	TMEM270
Williams syndrome	EIF4H
Williams syndrome	DNAJC30
Williams syndrome	METTL27
Williams syndrome	BUD23
Williams syndrome	BAZ1B
Williams syndrome	CLIP2
Williams syndrome	ELN
Williams syndrome	GTF2I
Williams syndrome	GTF2IRD1
Williams syndrome	LIMK1
Wolf-Hirschhorn syndrome	PIGG
Wolf-Hirschhorn syndrome	CPLX1
Wolf-Hirschhorn syndrome	CTBP1
Wolf-Hirschhorn syndrome	NSD2
Wolf-Hirschhorn syndrome	NELFA
Wolf-Hirschhorn syndrome	LETM1
Achondroplasia	FGFR3
Ataxia with vitamin E deficiency	TTPA
Dentatorubral pallidoluysian atrophy	ATN1
T-B+ severe combined immunodeficiency due to gamma chain deficiency	IL2RG
Kennedy disease	AR
Ornithine transcarbamylase deficiency	OTC
Homocystinuria due to cystathionine beta-synthase deficiency	CBS
Leprechaunism	INSR
Hb Bart's hydrops fetalis	HBA2
Hb Bart's hydrops fetalis	HBA1
Hypochondroplasia	FGFR3
Leber hereditary optic neuropathy	NDUFS2
Leber hereditary optic neuropathy	DNAJC30
Leber hereditary optic neuropathy	MT-ATP6
Leber hereditary optic neuropathy	MT-CO1
Leber hereditary optic neuropathy	MT-CO3
Leber hereditary optic neuropathy	MT-CYB
Leber hereditary optic neuropathy	MT-ND1
Leber hereditary optic neuropathy	MT-ND2
Leber hereditary optic neuropathy	MT-ND4
Leber hereditary optic neuropathy	MT-ND4L
Leber hereditary optic neuropathy	MT-ND5
Leber hereditary optic neuropathy	MT-ND6
Hydrocephalus with stenosis of the aqueduct of Sylvius	L1CAM
Maffucci syndrome	IDH2
Maffucci syndrome	IDH1
Benign familial mesial temporal lobe epilepsy	CPA6
Norrie disease	NDP
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	TBC1D24
Rolandic epilepsy-speech dyspraxia syndrome	SRPX2
Rolandic epilepsy-speech dyspraxia syndrome	GRIN2A
Leukoencephalopathy-dystonia-motor neuropathy syndrome	SCP2
CNTNAP2-related developmental and epileptic encephalopathy	CNTNAP2
Chronic granulomatous disease	CYBB
Chronic granulomatous disease	NCF1
Chronic granulomatous disease	NCF2
Chronic granulomatous disease	CYBA
Chronic granulomatous disease	NCF4
Chronic granulomatous disease	CYBC1
Blue cone monochromatism	OPN1MW
Blue cone monochromatism	OPN1LW
Alveolar soft tissue sarcoma	TFE3
Alveolar soft tissue sarcoma	ASPSCR1
NARP syndrome	MT-ATP6
Full NF2-related schwannomatosis	NF2
Action myoclonus-renal failure syndrome	SCARB2
X-linked hypohidrotic ectodermal dysplasia	EDA
X-linked hypohidrotic ectodermal dysplasia	EDA2R
2p21 microdeletion syndrome	SLC3A1
2p21 microdeletion syndrome	PREPL
2p21 microdeletion syndrome	CAMKMT
2p21 microdeletion syndrome	PPM1B
Hypotonia-cystinuria syndrome	SLC3A1
Hypotonia-cystinuria syndrome	PREPL
Fibrodysplasia ossificans progressiva	ACVR1
Gorlin syndrome	PTCH1
Gorlin syndrome	SUFU
Gorlin syndrome	PTCH2
Noonan syndrome	RRAS
Noonan syndrome	MRAS
Noonan syndrome	SPRED2
Noonan syndrome	RRAS2
Noonan syndrome	PTPN11
Noonan syndrome	CBL
Noonan syndrome	SOS1
Noonan syndrome	KRAS
Noonan syndrome	RAF1
Noonan syndrome	NRAS
Noonan syndrome	RIT1
Noonan syndrome	LZTR1
Noonan syndrome	RASA2
Noonan syndrome	SOS2
Monosomy 5p	SEMA5A
Monosomy 5p	CTNND2
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"	HSD17B3
Lesch-Nyhan syndrome	HPRT1
Li-Fraumeni syndrome	CDKN2A
Li-Fraumeni syndrome	MDM2
Li-Fraumeni syndrome	TP53
Li-Fraumeni syndrome	CHEK2
Hereditary neuropathy with liability to pressure palsies	PMP22
Alpha-1-antitrypsin deficiency	SERPINA1
Waardenburg syndrome type 2	KITLG
Waardenburg syndrome type 2	TYR
Waardenburg syndrome type 2	SNAI2
Waardenburg syndrome type 2	SOX10
Waardenburg syndrome type 2	MITF
Waardenburg syndrome type 2	EDNRB
Waardenburg syndrome type 3	PAX3
Townes-Brocks syndrome	SALL1
Townes-Brocks syndrome	DACT1
Waardenburg syndrome type 1	PAX3
Hyperkalemic periodic paralysis	SCN4A
Schwartz-Jampel syndrome	HSPG2
Diastrophic dysplasia	SLC26A2
Hypokalemic periodic paralysis	SCN4A
Hypokalemic periodic paralysis	CACNA1S
Hypokalemic periodic paralysis	KCNE3
BOR syndrome	SIX1
BOR syndrome	EYA1
BOR syndrome	SIX5
Hereditary hemorrhagic telangiectasia	ACVRL1
Hereditary hemorrhagic telangiectasia	SMAD4
Hereditary hemorrhagic telangiectasia	ENG
Hereditary hemorrhagic telangiectasia	GDF2
Saethre-Chotzen syndrome	FGFR3
Saethre-Chotzen syndrome	FGFR2
Saethre-Chotzen syndrome	TWIST1
Peutz-Jeghers syndrome	STK11
WAGR syndrome	WT1
WAGR syndrome	PAX6
WAGR syndrome	BDNF
Zellweger syndrome	PEX11B
Zellweger syndrome	PEX2
Zellweger syndrome	PEX1
Zellweger syndrome	PEX10
Zellweger syndrome	PEX12
Zellweger syndrome	PEX13
Zellweger syndrome	PEX14
Zellweger syndrome	PEX16
Zellweger syndrome	PEX19
Zellweger syndrome	PEX26
Zellweger syndrome	PEX3
Zellweger syndrome	PEX5
Zellweger syndrome	PEX6
Albers-Schönberg osteopetrosis	CLCN7
Abetalipoproteinemia	MTTP
Chédiak-Higashi syndrome	LYST
Crouzon syndrome	FGFR2
Crouzon syndrome	ERF
Cowden syndrome	PTEN
Cowden syndrome	USF3
Cowden syndrome	PIK3CA
Cowden syndrome	SDHB
Cowden syndrome	SDHD
Cowden syndrome	SDHC
Cowden syndrome	SEC23B
Cowden syndrome	AKT1
Cowden syndrome	KLLN
Coffin-Lowry syndrome	RPS6KA3
Mild hemophilia A	F8
Severe hemophilia A	F8
Moderate hemophilia A	F8
McCune-Albright syndrome	GNAS
Menkes disease	ATP7A
Jeune syndrome	KIAA0753
Jeune syndrome	DYNC2LI1
Jeune syndrome	IFT80
Jeune syndrome	DYNC2H1
Jeune syndrome	TTC21B
Jeune syndrome	WDR19
Jeune syndrome	IFT140
Jeune syndrome	DYNC2I1
Jeune syndrome	IFT172
Jeune syndrome	DYNC2I2
Jeune syndrome	CEP120
Familial hemophagocytic lymphohistiocytosis	PRF1
Familial hemophagocytic lymphohistiocytosis	STX11
Familial hemophagocytic lymphohistiocytosis	UNC13D
Familial hemophagocytic lymphohistiocytosis	STXBP2
"Microphthalmia, Lenz type"	BCOR
"Microphthalmia, Lenz type"	NAA10
Meckel syndrome	TXNDC15
Meckel syndrome	TMEM107
Meckel syndrome	TCTN1
Meckel syndrome	TMEM237
Meckel syndrome	RPGRIP1
Meckel syndrome	CEP290
Meckel syndrome	TMEM67
Meckel syndrome	MKS1
Meckel syndrome	RPGRIP1L
Meckel syndrome	CC2D2A
Meckel syndrome	TMEM216
Meckel syndrome	TCTN3
Meckel syndrome	TCTN2
Meckel syndrome	B9D1
Meckel syndrome	B9D2
Meckel syndrome	TMEM231
Meckel syndrome	CSPP1
Ellis Van Creveld syndrome	DYNC2LI1
Ellis Van Creveld syndrome	GLI1
Ellis Van Creveld syndrome	EVC2
Ellis Van Creveld syndrome	EVC
Ellis Van Creveld syndrome	PRKACA
Ellis Van Creveld syndrome	PRKACB
Laminin subunit alpha 2-related congenital muscular dystrophy	LAMA2
Chromosome Y microdeletion	AZF1
Chromosome Y microdeletion	USP9Y
Chromosome Y microdeletion	DAZ1
Chromosome Y microdeletion	DAZ2
Chromosome Y microdeletion	DAZ3
Chromosome Y microdeletion	DAZ4
Chromosome Y microdeletion	DDX3Y
Chromosome Y microdeletion	RBMY1A1
Chromosome Y microdeletion	TSPY1
Primary CD59 deficiency	CD59
Apert syndrome	FGFR2
Familial paroxysmal ataxia	CACNA1A
Recurrent Neisseria infections due to factor D deficiency	CFD
Lamellar ichthyosis	SULT2B1
Lamellar ichthyosis	ASPRV1
Lamellar ichthyosis	SDR9C7
Lamellar ichthyosis	ABCA12
Lamellar ichthyosis	ALOX12B
Lamellar ichthyosis	ALOXE3
Lamellar ichthyosis	TGM1
Lamellar ichthyosis	CYP4F22
Lamellar ichthyosis	NIPAL4
Lamellar ichthyosis	LIPN
Mild hemophilia B	F9
Moderate hemophilia B	F9
Severe hemophilia B	F9
Ocular albinism with late-onset sensorineural deafness	AP3D1
Severe congenital nemaline myopathy	ACTA1
Severe congenital nemaline myopathy	NEB
Severe congenital nemaline myopathy	KLHL40
Severe congenital nemaline myopathy	KLHL41
Severe congenital nemaline myopathy	LMOD3
Intermediate nemaline myopathy	TPM3
Intermediate nemaline myopathy	ACTA1
Intermediate nemaline myopathy	NEB
Intermediate nemaline myopathy	KLHL41
Typical nemaline myopathy	ACTA1
Typical nemaline myopathy	CFL2
Typical nemaline myopathy	TPM2
Typical nemaline myopathy	NEB
Typical nemaline myopathy	KLHL41
Typical nemaline myopathy	LMOD3
Childhood-onset nemaline myopathy	TPM2
Childhood-onset nemaline myopathy	MYPN
Childhood-onset nemaline myopathy	ACTA1
Childhood-onset nemaline myopathy	TPM3
Childhood-onset nemaline myopathy	NEB
Childhood-onset nemaline myopathy	KBTBD13
Childhood-onset nemaline myopathy	KLHL41
Muscle filaminopathy	FLNC
X-linked spastic paraplegia type 34	SPG34
Bruck syndrome	PLOD2
Bruck syndrome	FKBP10
Autosomal dominant spastic paraplegia type 37	SPG37
Autosomal dominant spastic paraplegia type 37	KPNA3
Autosomal dominant spastic paraplegia type 38	SPG38
Mitochondrial DNA-related cardiomyopathy and hearing loss	MT-TK
Autosomal recessive spastic paraplegia type 32	SPG32
Autosomal recessive spastic paraplegia type 35	FA2H
Treacher-Collins syndrome	POLR1B
Treacher-Collins syndrome	TCOF1
Treacher-Collins syndrome	POLR1D
Treacher-Collins syndrome	POLR1C
Progressive myoclonic epilepsy type 1	CSTB
Progressive myoclonic epilepsy type 1	SCARB2
Progressive myoclonic epilepsy type 1	PRICKLE1
Cornelia de Lange syndrome	SMC1A
Cornelia de Lange syndrome	NIPBL
Cornelia de Lange syndrome	SMC3
Cornelia de Lange syndrome	HDAC8
Cornelia de Lange syndrome	RAD21
Cornelia de Lange syndrome	BRD4
Idiopathic achalasia	CRLF1
Idiopathic achalasia	HLA-DQA1
Idiopathic achalasia	HLA-DQB1
Idiopathic achalasia	NOS1
22q11.2 duplication syndrome	TBX1
Cernunnos-XLF deficiency	NHEJ1
CLAPO syndrome	PIK3CA
Immunodeficiency due to CD25 deficiency	IL2RA
Severe combined immunodeficiency due to FOXN1 deficiency	FOXN1
Combined immunodeficiency due to CD3gamma deficiency	CD3G
Susceptibility to respiratory infections associated with CD8alpha chain mutation	CD8A
Primary peritoneal carcinoma	BRCA1
"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency"	SRD5A2
Triose phosphate-isomerase deficiency	TPI1
Darier disease	ATP2A2
"Heart-hand syndrome, Slovenian type"	LMNA
Coffin-Siris syndrome	ARID2
Coffin-Siris syndrome	SMARCB1
Coffin-Siris syndrome	SMARCA4
Coffin-Siris syndrome	ARID1B
Coffin-Siris syndrome	ARID1A
Coffin-Siris syndrome	SMARCE1
Coffin-Siris syndrome	SOX11
Coffin-Siris syndrome	SOX4
Coffin-Siris syndrome	DPF2
Coffin-Siris syndrome	SMARCD1
Coffin-Siris syndrome	SMARCC2
Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	FGFR1
Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement	PDGFRB
Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement	PDGFRA
Chronic eosinophilic leukemia	FIP1L1
Chronic eosinophilic leukemia	PDGFRA
Isolated complex I deficiency	TMEM126B
Isolated complex I deficiency	NDUFAF8
Isolated complex I deficiency	TIMMDC1
Isolated complex I deficiency	NDUFB11
Isolated complex I deficiency	NDUFA6
Isolated complex I deficiency	MT-ND1
Isolated complex I deficiency	MT-ND2
Isolated complex I deficiency	MT-ND3
Isolated complex I deficiency	NDUFAF2
Isolated complex I deficiency	NDUFS1
Isolated complex I deficiency	NDUFS2
Isolated complex I deficiency	NDUFS3
Isolated complex I deficiency	NDUFS4
Isolated complex I deficiency	NDUFS6
Isolated complex I deficiency	NDUFS7
Isolated complex I deficiency	NDUFS8
Isolated complex I deficiency	NDUFV1
Isolated complex I deficiency	NDUFV2
Isolated complex I deficiency	NDUFA1
Isolated complex I deficiency	NDUFAF4
Isolated complex I deficiency	NDUFAF5
Isolated complex I deficiency	NDUFA11
Isolated complex I deficiency	NDUFAF3
Isolated complex I deficiency	NUBPL
Isolated complex I deficiency	FOXRED1
Isolated complex I deficiency	NDUFAF1
Isolated complex I deficiency	NDUFB9
Isolated complex I deficiency	NDUFB3
Isolated complex I deficiency	NDUFB10
Large congenital melanocytic nevus	ZEB2
Large congenital melanocytic nevus	BRAF
Large congenital melanocytic nevus	RAF1
Large congenital melanocytic nevus	ALK
Large congenital melanocytic nevus	NRAS
Large congenital melanocytic nevus	SOX5
Refsum disease	PHYH
Refsum disease	PEX7
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	IL7R
Immunodeficiency due to a late component of complement deficiency	C5
Immunodeficiency due to a late component of complement deficiency	C6
Immunodeficiency due to a late component of complement deficiency	C7
Immunodeficiency due to a late component of complement deficiency	C8A
Immunodeficiency due to a late component of complement deficiency	C8B
Immunodeficiency due to a late component of complement deficiency	C8G
Immunodeficiency due to a late component of complement deficiency	C9
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta	CD3D
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta	CD3E
T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta	CD247
T-B+ severe combined immunodeficiency due to CD45 deficiency	PTPRC
"Progressive epilepsy-intellectual disability syndrome, Finnish type"	CLN8
Immunodeficiency due to a classical component pathway complement deficiency	C2
Immunodeficiency due to a classical component pathway complement deficiency	C4A
Immunodeficiency due to a classical component pathway complement deficiency	C4B
Immunodeficiency due to a classical component pathway complement deficiency	C1QA
Immunodeficiency due to a classical component pathway complement deficiency	C1QB
Immunodeficiency due to a classical component pathway complement deficiency	C1QC
Immunodeficiency due to a classical component pathway complement deficiency	C1S
Immunodeficiency due to a classical component pathway complement deficiency	C1R
Recurrent infections due to specific granule deficiency	CEBPE
Recurrent infections due to specific granule deficiency	SMARCD2
X-linked centronuclear myopathy	MTM1
Bethlem muscular dystrophy	COL6A1
Bethlem muscular dystrophy	COL6A2
Bethlem muscular dystrophy	COL6A3
Bethlem muscular dystrophy	COL12A1
Autosomal recessive centronuclear myopathy	TTN
Autosomal recessive centronuclear myopathy	SPEG
Autosomal recessive centronuclear myopathy	RYR1
Autosomal recessive centronuclear myopathy	BIN1
Incontinentia pigmenti	IKBKG
Autosomal dominant centronuclear myopathy	RYR1
Autosomal dominant centronuclear myopathy	DNM2
Autosomal dominant centronuclear myopathy	MYF6
Autosomal dominant centronuclear myopathy	BIN1
Autosomal dominant centronuclear myopathy	MTMR14
Neonatal adrenoleukodystrophy	PEX2
Neonatal adrenoleukodystrophy	PEX1
Neonatal adrenoleukodystrophy	PEX10
Neonatal adrenoleukodystrophy	PEX12
Neonatal adrenoleukodystrophy	PEX13
Neonatal adrenoleukodystrophy	PEX14
Neonatal adrenoleukodystrophy	PEX16
Neonatal adrenoleukodystrophy	PEX19
Neonatal adrenoleukodystrophy	PEX26
Neonatal adrenoleukodystrophy	PEX3
Neonatal adrenoleukodystrophy	PEX5
Neonatal adrenoleukodystrophy	PEX6
Neonatal adrenoleukodystrophy	PEX11B
Alkaptonuria	HGD
Acromegaly	AIP
Acromegaly	GPR101
Blue rubber bleb nevus	TEK
Succinic semialdehyde dehydrogenase deficiency	ALDH5A1
Mevalonic aciduria	MVK
Nager syndrome	SF3B4
Hereditary orotic aciduria	UMPS
Acrocallosal syndrome	GLI3
Acrocallosal syndrome	KIF7
Aarskog-Scott syndrome	FGD1
Nail-patella syndrome	LMX1B
Isovaleric acidemia	IVD
Smith-Magenis syndrome	DEAF1
Smith-Magenis syndrome	RAI1
Smith-Magenis syndrome	FLII
Smith-Magenis syndrome	IQSEC2
Hereditary persistence of alpha-fetoprotein	AFP
Congenital deficiency in alpha-fetoprotein	AFP
Cleidocranial dysplasia	RUNX2
Autosomal thrombocytopenia with normal platelets	IKZF5
Autosomal thrombocytopenia with normal platelets	MASTL
Autosomal thrombocytopenia with normal platelets	CYCS
Autosomal thrombocytopenia with normal platelets	ANKRD26
"Familial scaphocephaly syndrome, McGillivray type"	FGFR2
Cohen syndrome	VPS13B
Chronic mucocutaneous candidiasis	CLEC7A
Chronic mucocutaneous candidiasis	IL17RA
Chronic mucocutaneous candidiasis	IL17F
Chronic mucocutaneous candidiasis	TRAF3IP2
Chronic mucocutaneous candidiasis	IL17RC
Hereditary North American Indian childhood cirrhosis	UTP4
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	TKFC
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	SLC25A4
Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	AGK
Hereditary cryohydrocytosis with reduced stomatin	SLC2A1
Sudden infant death-dysgenesis of the testes syndrome	TSPYL1
Hyperandrogenism due to cortisone reductase deficiency	H6PD
Hyperandrogenism due to cortisone reductase deficiency	HSD11B1
Congenital enteropathy due to enteropeptidase deficiency	TMPRSS15
Methionine adenosyltransferase I/III deficiency	MAT1A
Seborrhea-like dermatitis with psoriasiform elements	ZNF750
Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	PIEZO2
"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency"	CYP11A1
"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome"	DHH
Diamond-Blackfan anemia	RPL18
Diamond-Blackfan anemia	RPS27
Diamond-Blackfan anemia	RPL27
Diamond-Blackfan anemia	RPS15A
Diamond-Blackfan anemia	TSR2
Diamond-Blackfan anemia	RPL35
Diamond-Blackfan anemia	RPL8
Diamond-Blackfan anemia	HEATR3
Diamond-Blackfan anemia	RPL31
Diamond-Blackfan anemia	RPL9
Diamond-Blackfan anemia	ADA2
Diamond-Blackfan anemia	RPS20
Diamond-Blackfan anemia	RPS19
Diamond-Blackfan anemia	RPS24
Diamond-Blackfan anemia	GATA1
Diamond-Blackfan anemia	RPS17
Diamond-Blackfan anemia	RPS7
Diamond-Blackfan anemia	RPL5
Diamond-Blackfan anemia	RPL11
Diamond-Blackfan anemia	RPL35A
Diamond-Blackfan anemia	RPS10
Diamond-Blackfan anemia	RPS26
Diamond-Blackfan anemia	RPL26
Diamond-Blackfan anemia	RPL15
Diamond-Blackfan anemia	RPS29
Diamond-Blackfan anemia	RPS28
Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	TSFM
Caffey disease	COL1A1
H syndrome	SLC29A3
Native American myopathy	STAC3
Bloom syndrome	BLM
Argininemia	ARG1
Aniridia-cerebellar ataxia-intellectual disability syndrome	ITPR1
Aniridia-cerebellar ataxia-intellectual disability syndrome	PAX6
