GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
SIRPalpha-Fc-CD40L		6/7/2024	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Shattuck Labs, Inc."
"(R,E)-1-(3-(4-(trifluoromethyl)styryl)pyrrolidin-1-yl)prop-2-en-1-one"		6/7/2024	treatment of malignant mesothelioma	Designated	Not FDA Approved for Orphan Indication	BridGene Biosciences Inc.
empasiprubart		6/5/2024	treatment of multifocal motor neuropathy	Designated	Not FDA Approved for Orphan Indication	argenx BV
Tafenoquine		6/5/2024	treatment of babesiosis	Designated	Not FDA Approved for Orphan Indication	"60 Degrees Pharmaceuticals, Inc."
cabozantinib		6/5/2024	treatment of pancreatic neuroendocrine tumors	Designated	Not FDA Approved for Orphan Indication	"Exelixis, Inc."
Nicotinamide riboside chloride		6/3/2024	Treatment of ataxia telangiectasia	Designated	Not FDA Approved for Orphan Indication	"ChromaDex, Inc."
bispecific antibody against CLDN18.2 and T cell receptor complex CD3		6/3/2024	treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Astellas Pharma Global Development, Inc."
"Zinc (2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate and (3S,9aS)-3-(1H-imidazol-5-ylmethyl)-octahydro-1H-pyrido[1,2-a]piperazine-1,4-dione"		5/30/2024	treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"NovMetaPharma Co., Ltd."
Humanized monoclonal antibody targeting tissue factor conjugated to monomethyl auristatin E payload		5/29/2024	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Nanolattix Biotechnology Co., Ltd."
anti-Siglec-15 monoclonal antibody on a human IgG1-Fc-silenced backbone		5/29/2024	treatment of osteogenesis imperfecta	Designated	Not FDA Approved for Orphan Indication	"NextCure, Inc."
Allogeneic Teazeled receptor-activated human white blood cells		5/28/2024	treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Second Life Therapeutics, Inc"
(-)-Huperzine A		5/28/2024	treatment of neonatal hypoxic-ischemic encephalopathy	Designated	Not FDA Approved for Orphan Indication	"Wanbangde Pharmaceutical Group Co, Ltd."
recombinant human alpha-galactosidase A fused in-frame to the aglycosylated human IgG4 Fc mutein		5/24/2024	treatment of Fabry disease	Designated	Not FDA Approved for Orphan Indication	"Hanmi Pharmaceutical. Co., Ltd."
lixudebart		5/24/2024	treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	Alentis Therapeutics AG
vorinostat		5/24/2024	treatment of Rett syndrome	Designated	Not FDA Approved for Orphan Indication	"Unravel Biosciences, Inc."
peptide-oligonucleotide conjugate that targets OPA1 mRNA		5/22/2024	treatment of OPA1 mutation-associated autosomal dominant optic atrophy	Designated	Not FDA Approved for Orphan Indication	"PYC Therapeutics, LLC"
"replication-competent oncolytic herpes simplex virus (oHSV), engineered by removing the two endogenous copies of infected cell protein 34.5 (ICP34.5) and re-inserting one copy of the ICP34.5 gene under transcriptional control mediated by the promoter-enhancer elements of nestin"		5/21/2024	treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	Brigham and Women's Hospital
zanubrutinib		5/20/2024	treatment of membranous nephropathy	Designated	Not FDA Approved for Orphan Indication	"BeiGene USA, Inc."
azeliragon		5/16/2024	treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	Cantex Pharmaceuticals
monepantel		5/16/2024	treatment of amyotrophic lateral sclerosis	Designated	Not FDA Approved for Orphan Indication	PharmAust Limited
2-(Piperazin-1-yl)ethyl 3-fluoro-5-(2-(3-(6-methylpyridin-2-yl)-4-(quinolin-4-yl)-1H-pyrazol-1-yl)acetamido)benzoate		5/15/2024	treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"AgomAb Spain, S.L."
Autologous B cell-derived ex vivo gene edited cell therapy comprised of expanded/differentiated B lymphocyte lineage genetically engineered to express and secrete factor IX		5/15/2024	Treatment of hemophilia B	Designated	Not FDA Approved for Orphan Indication	"Be BioPharma, Inc."
(R) 3-(5-Dimethylcarbamoyl-pent-1-enyl)-N-(2-hydroxy-1- methylethyl) benzamide		5/14/2024	treatment of fragile X syndrome	Designated	Not FDA Approved for Orphan Indication	"Spinogenix, Inc."
human anti-CD94 IgG1 monoclonal antibody (non-fucosylated)		5/9/2024	treatment of T-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	"Dren Bio, Inc"
l-arginine		5/8/2024	treatment of sickle cell disease and its complications including pain; acute chest syndrome; vasculopathy; pulmonary hypertension; mitochondrial dysfunction; oxidative stress; leg ulcers; priapism; consequences of arginine deficiency	Designated	Not FDA Approved for Orphan Indication	Emory University
fixed-dosed combination of L-citrulline + allopurinol		4/30/2024	treatment of Duchenne muscular dystrophy (DMD)	Designated	Not FDA Approved for Orphan Indication	"Dr. Noah Biotech, Inc."
Anti-nectin-4 IgG1 monoclonal antibody conjugated to monomethyl auristatin E		4/30/2024	treatment of esophageal cancer	Designated	Not FDA Approved for Orphan Indication	"Mabwell (Shanghai) Bioscience Co., Ltd."
"human recombinant, monoclonal antibody (mAb) of the IgG1 isotype against alpha-synuclein"		4/30/2024	treatment of multiple system atrophy (MSA)	Designated	Not FDA Approved for Orphan Indication	Lundbeck Pharmaceuticals LLC
osilodrostat		4/29/2024	Treatment of endogenous Cushing's syndrome excluding Cushing's disease	Designated	Not FDA Approved for Orphan Indication	Recordati Rare Diseases Inc.
"Targeted antigen-loaded liposomes (TALL) comprised of a neutral stealth liposome, encapsulated synthetic immunogenic HLA class I restricted peptide (H250) derived from measles virus and a tumor-targeting peptide"		4/29/2024	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	SRI International
14-species commensal bacterial flora with prebiotics and postbiotic complex composed of gut microbiome modulating formulation		4/29/2024	treatment of Angelman syndrome	Designated	Not FDA Approved for Orphan Indication	Biom Pharmaceutical Corporation
(-)-Epigallocatechin 3-gallate		4/29/2024	treatment of pouchitis	Designated	Not FDA Approved for Orphan Indication	PharmassetX LLC
(R)-3-(1-cyclopropyl-3-(2-fluoro-4-(trifluoromethoxy)benzyl)ureido)piperidine-1-carboxamide		4/24/2024	treatment of phenylketonuria	Designated	Not FDA Approved for Orphan Indication	Jnana Therapeutics
autologous anti-CD19 CAR T cell immunotherapy		4/24/2024	treatment of myasthenia gravis	Designated	Not FDA Approved for Orphan Indication	"Kyverna Therapeutics, Inc."
recombinant adeno-associated virus serotype 2 vector encoding human cytochrome P450 family 4 subfamily V member 2 (CYP4V2)		4/24/2024	treatment of Bietti crystalline corneoretinal dystrophy	Designated	Not FDA Approved for Orphan Indication	"NGGT (Suzhou) Biotechnology Co., Ltd."
selective small molecule messenger RNA (mRNA) degrader of MYB		4/24/2024	Treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	Remix Therapeutics
A small molecule messenger RNA (mRNA) degrader of MYB		4/24/2024	Treatment of adenoid cystic carcinoma	Designated	Not FDA Approved for Orphan Indication	Remix Therapeutics
"small molecule inhibitor of AAK1, a protein kinase member of the Notch pathway"		4/23/2024	treatment of Duchenne muscular dystrophy	Designated	Not FDA Approved for Orphan Indication	Satellos Bioscience Inc.
"autologous human CD34+ hematopoietic stem and progenitor cells (HSPCs), derived from G-CSF/plerixafor mobilized peripheral blood stem cells (PBSCs) of patients with Danon disease (DD)"		4/23/2024	treatment of Danon disease (DD)	Designated	Not FDA Approved for Orphan Indication	Papillon Therapeutics
Allogenic donor peripheral blood mononuclear cell-derived natural killer cells		4/22/2024	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Ingenium Therapeutics, Inc."
recombinant humanized anti-CD3/CD19 bispecific antibody		4/22/2024	treatment of follicular lymphoma (FL)	Designated	Not FDA Approved for Orphan Indication	"Curon Biopharmaceutical (Shanghai) Co., Limited"
selective small molecular inhibitor of fibroblast growth factor receptor 4		4/22/2024	treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	"Abbisko Therapeutics Co., Ltd."
"N-[(2S)-1-[(3aS,6R,6aR)-6-Ethynyl-3-oxohexahydro-2H-furo[3,2-b]pyrrol-4-yl]-4-methyl-1-oxopentan-2-yl]-4-[5-fluoro-2-(4-methylpiperazin-1-yl)-1,3-thiazol-4-yl]benzamide hydrochloride"		4/15/2024	treatment of Legg-Calve-Perthes Disease (LCPD)	Designated	Not FDA Approved for Orphan Indication	Medivir AB
bispecific antibody drug conjugate (ADC) comprised of a humanized anti-CD33 and a humanized anti-CD7 Fab chemically linked to form a bi-Fab and conjugated to maleimidocaproyl monomethylauristatin F (mcMMAF)		4/15/2024	treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	BiVictriX Therapeutics plc.
calpurbatug		4/12/2024	treatment of prosthetic joint infection	Designated	Not FDA Approved for Orphan Indication	Trellis Bioscience Inc.
N-(4-((2-aminopyrimidin-5-yl)ethynyl)-3-fluoropyridin-2-yl)-5-chloro-2-methoxypyridine-3-sulfonamide		4/11/2024	treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Apollo Therapeutics Inc.
celastrol		4/10/2024	treatment of Prader-Willi syndrome	Designated	Not FDA Approved for Orphan Indication	"ERX Pharmaceuticals, Inc."
"6'-(R)-Methyl-5-O-(5-amino-5,6-dideoxy-alpha-Ltalofuranosyl)-paromamine sulfate"		4/10/2024	Treatment of Alport Syndrome	Designated	Not FDA Approved for Orphan Indication	Eloxx Pharmaceuticals Inc.
small molecule inhibitor of hyaluronan synthesis		4/9/2024	Treatment of Primary Sclerosing Cholangitis	Designated	Not FDA Approved for Orphan Indication	"Halo Biosciences, Inc."
aglatimagene besadenovec		4/8/2024	treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Candel Therapeutics, Inc."
"Two AAV vectors, the first expressing the N- and the second expressing the C-region of the ATP-binding cassette subfamily A member 4 (ABCA4) protein fused to N- or C-terminal split-intein sequences"		4/8/2024	treatment of patients with confirmed ABCA4 gene mutation-associated inherited retinal dystrophy (IRD)	Designated	Not FDA Approved for Orphan Indication	SpliceBio S.L.
Glecirasib		4/8/2024	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Jacobio Pharmaceuticals Co., Ltd."
Folate-TRPV6-peptide exatecan drug conjugate		4/8/2024	treatment of esophageal cancer	Designated	Not FDA Approved for Orphan Indication	"Coherent Biophanna (Hefei) Co., Ltd."
"Subunit protein vaccine of recombinantly expressed Marburg Marburgvirus glycoprotein (MARV GP, MarVax)"		4/8/2024	prevention (which includes post-exposure prophylaxis) against Marburg marburgvirus infection	Designated	Not FDA Approved for Orphan Indication	"Soligenix, Inc."
"(S)-N-(1-(3-fluoro-2'-methoxy-[1,1'-biphenyl]-4-yl)-2-oxopiperidin-3-yl)-5-(pyridin-2-yl) thiophene-2-sulfonamide"		4/8/2024	Treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	"Amira Therapeutics, S.L."
Self-complementary adeno-associated virus serotype 9 vector harboring a miniaturized codon-optimized human IDUA gene		4/8/2024	Treatment of mucopolysaccharidosis type I	Designated	Not FDA Approved for Orphan Indication	"NeuroGT, Inc."
Humanized anti-GD2 monoclonal antibody		4/8/2024	Treatment of Neuroblastoma	Designated	Not FDA Approved for Orphan Indication	"Renaissance Pharma, Ltd."
tecarfarin		4/8/2024	"Prevention of thromboembolism and thrombosis in patients with an implanted mechanical circulatory support device (left ventricular assist device, right ventricular assist device, biventricular assist device, total artificial heart)"	Designated	Not FDA Approved for Orphan Indication	Cadrenal Therapeutics
subunit protein vaccine of recombinantly expressed Sudan Ebola virus glycoprotein		4/8/2024	prevention (which includes post-exposure prophylaxis) against Sudan Ebola Virus (SUDV) infection	Designated	Not FDA Approved for Orphan Indication	"Soligenix, Inc."
"Hematopoietic stem cells and blood progenitors umbilical cord-derived expanded with (1r, 4r)-N1-(2-benzyl-7-(2-methyl-2H-tetrazol-5-yl)-9H-pyrimido[4,5-b]indol-4-yl)cyclohexane-1,4-diamine dihydrobromide dihydrate"		4/2/2024	Treatment to enhance cell engraftment and immune reconstitution in patients receiving hematopoietic stem cell transplant	Designated	Not FDA Approved for Orphan Indication	Cordex Biologics Inc.
certepetide		3/28/2024	Treatment of Osteosarcoma	Designated	Not FDA Approved for Orphan Indication	"Lisata Therapeutics, Inc"
allantoin (5-ureidohydantoin or glyoxyldiureide)		3/28/2024	Treatment of Epidermolysis Bullosa	Designated	Not FDA Approved for Orphan Indication	Paradigm Therapeutics
neratinib		3/25/2024	Treatment of gastric cancer (including gastroesophageal Junction cancer)	Designated	Not FDA Approved for Orphan Indication	"Convalife (Shanghai) CO., Ltd."
"small synthetic peptide based on a sequence found in the human endogenous protein, central coordination network protein 3"		3/21/2024	Treatment of Systemic Sclerosis	Designated	Not FDA Approved for Orphan Indication	BLR Bio LLC
topotecan liposome injection		3/21/2024	Treatment of Merkel Cell Carcinoma	Designated	Not FDA Approved for Orphan Indication	"Fujifilm Pharmaceuticals U.S.A., Inc."
Potassium citrate and potassium bicarbonate		3/21/2024	Treatment of cystinuria	Designated	Not FDA Approved for Orphan Indication	Advicenne S.A.
utidelone		3/21/2024	treatment of breast cancer brain metastases	Designated	Not FDA Approved for Orphan Indication	"Biostar Pharma, Inc."
pyridine derivative containing pyridazine that inhibits lysophospholipase		3/21/2024	Treatment of Systemic Sclerosis	Designated	Not FDA Approved for Orphan Indication	"Boehringer Ingelheim Pharmaceuticals, Inc."
mecasermin rinfabate		3/21/2024	Prevention of intraventricular hemorrhage in preterm infants less than 32 weeks gestational age	Designated	Not FDA Approved for Orphan Indication	OHB Neonatology Ltd.
(-)-epi-gallocatechin-3-gallate		3/21/2024	Treatment of Duchenne Muscular Dystrophy	Designated	Not FDA Approved for Orphan Indication	Merdury Biopharmaceutical Corporation
prednisone		3/20/2024	Treatment of Chronic Inflammatory Demyelinating Polyneuropathy	Designated	Not FDA Approved for Orphan Indication	Sarcomed AB
Cevidoplenib		3/20/2024	Treatment of primary immune thrombocytopenia (ITP)	Designated	Not FDA Approved for Orphan Indication	Oscotec Inc.
Human induced pluripotent stem cells (iPSC)-derived Photoreceptor Progenitor Cells		3/20/2024	Treatment of Retinitis Pigmentosa	Designated	Not FDA Approved for Orphan Indication	"iRegene Therapeutics Co., Ltd"
autologous cluster of differentiation 34 positive (CD34+) hematopoietic stem/progenitor cells transduced with the LVMWAS lentiviral vector encoding the human Wiskott-Aldrich Syndrome protein		3/20/2024	Treatment of Wiskott-Aldrich Syndrome	Designated	Not FDA Approved for Orphan Indication	CSL Behring
autologous T cells transduced with lentivirus to express a fully human anti-CD19 single chain variable fragment		3/19/2024	Treatment of Systemic Sclerosis	Designated	Not FDA Approved for Orphan Indication	"Cabaletta Bio, Inc."
humanized IgG1 monoclonal antibody against BCMA conjugated to synthetic amatoxin via a cathepsin B cleavable linker		3/19/2024	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Heidelberg Pharma AG
Andecaliximab		3/19/2024	Treatment of fibrodysplasia ossificans progressiva	Designated	Not FDA Approved for Orphan Indication	ashibio Inc
D-beta-hydroxybutyrate		3/18/2024	Treatment of Fatty Acid Oxidation Disorders	Designated	Not FDA Approved for Orphan Indication	Aimmune Nestle US R&D LLC
lentiviral-transduced CD33-directed CAR-T cell therapy		3/18/2024	treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Vor Biopharma
Safusidenib erbumine		3/14/2024	Treatment of malignant glioma	Designated	Not FDA Approved for Orphan Indication	AnHeart Therapeutics Inc.
recombinant humanized anti-tissue factor pathway inhibitor (TFPI) monoclonal antibody		3/14/2024	Treatment of hemophilia A	Designated	Not FDA Approved for Orphan Indication	"Suzhou Alphamab Co., Ltd."
Proglumide		3/13/2024	Treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	"CCKr Therapeutics, Inc."
Utidelone		3/12/2024	treatment of gastric cancer	Designated	Not FDA Approved for Orphan Indication	"Biostar Pharma, Inc."
prednisone		3/12/2024	Treatment of Myasthenia Gravis	Designated	Not FDA Approved for Orphan Indication	Sarcomed AB
felzartamab		3/12/2024	Treatment of antibody mediated rejection in kidney transplant recipients	Designated	Not FDA Approved for Orphan Indication	"Human Immunology Biosciences, Inc."
repotrectinib	Augtyro	3/12/2024	Treatment of NTRK fusion-positive solid tumors	Designated/Approved		Bristol-Myers Squibb Company
genetically modified allogeneic chimeric antigen receptor (CAR)-T cell therapy designed to target cell surface B-Cell Maturation Antigen		3/12/2024	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Poseida Therapeutics, Inc."
antibody-drug conjugate of a humanized monoclonal antibody specific for CD6 conjugated to monomethyl auristatin E		3/11/2024	Treatment of T-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	"Abcon Therapeutics, Inc."
eflornithine HCl		3/11/2024	Treatment of Bachmann-Bupp Syndrome	Designated	Not FDA Approved for Orphan Indication	"Orbus Therapeutics, Inc."
self-complementary adeno-associated virus 9 containing human methyl-CpG binding protein 2		3/11/2024	Treatment of Rett syndrome	Designated	Not FDA Approved for Orphan Indication	Genecombio Ltd.
"Derivative of 6-[2-(pyridin-2-yl)phenoxy]methyl}-1,2,3,4-tetrahydroisoquinoline"		3/9/2024	Treatment of systemic sclerosis	Designated	Not FDA Approved for Orphan Indication	"Boehringer Ingelheim Pharmaceuticals, Inc."
Enhanced delivery peptide-oligonucleotide conjugate for Duchenne Muscular Dystrophy Exon 51		3/7/2024	Treatment of Duchenne Muscular Dystrophy	Designated	Not FDA Approved for Orphan Indication	PepGen Inc.
Small molecule inhibitor of the bcr-abl tyrosine kinase		3/7/2024	Treatment of chronic myelogenous leukemia	Designated	Not FDA Approved for Orphan Indication	"Terns, Inc."
autologous ex vivo expanded polyclonal CD4plusCD25plusCD127 lo/- FOXP3plus regulatory T cells (CELZ-101)		3/5/2024	Prevention of allograft rejection in patients undergoing pancreatic islet cell transplantation	Designated	Not FDA Approved for Orphan Indication	"Creative Medical Technology Holdings, Inc"
Avutometinib		3/5/2024	Treatment of low grade serous ovarian cancer (LGSOC)	Designated	Not FDA Approved for Orphan Indication	"Verastem, Inc"
Prednisone		3/5/2024	Treatment of Limb-Girdle Muscular Dystrophy	Designated	Not FDA Approved for Orphan Indication	Sarcomed AB
Avutometinib; defactinib		3/5/2024	Treatment of low grade serous ovarian cancer (LGSOC)	Designated	Not FDA Approved for Orphan Indication	"Verastem, Inc."
humanized IgG1k monoclonal antibody against LAIR-1		3/5/2024	Treatment of acute myeloid leukemia (AML)	Designated	Not FDA Approved for Orphan Indication	"NextCure, Inc."
Recombinant human IgG4 monoclonal antibody against FGF19		2/29/2024	treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	Huahui Health Ltd.
CRISPR/Cas13X RNA base-editing gene therapy drug targeting human OTOF Q829X mutation		2/29/2024	Treatment of OTOF Q829X mutation-induced hearing loss	Designated	Not FDA Approved for Orphan Indication	"Cholgene Therapeutics, Inc."
(S)-1-((((1-Cyclohexylethyl)carbamoyl)oxy)methyl)-3-((2- nitrooxy)ethyl)carbamoyl)pyridin-1-ium iodide		2/29/2024	Prevention of delayed graft function in patients undergoing solid organ transplantation.	Designated	Not FDA Approved for Orphan Indication	"Unicycive Therapeutics, Inc."
Cambritaxestat		2/28/2024	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	iOnctura BV
topiramate		2/28/2024	Treatment of neonatal seizures	Designated	Not FDA Approved for Orphan Indication	PrevEP Inc.
methyldopa		2/27/2024	Prevention of retinopathy of prematurity	Designated	Not FDA Approved for Orphan Indication	FELIQS Corporation
Fully human anti-galectin-9 IgG4 monoclonal antibody		2/27/2024	Treatment of Acute Myeloid Leukemia	Designated	Not FDA Approved for Orphan Indication	PureTech Health LLC
combination Resveratrol and Curcumin		2/27/2024	Treatment of patients with Dercum's disease (adiposis dolorosa)	Designated	Not FDA Approved for Orphan Indication	"Caliway Biopharmaceuticals Co., Ltd."
Dilanubicel		2/26/2024	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Deverra Therapeutics
combination of 7-ethtyl-10-hydroxycamptothecin and irinotecan hydrochloride trihydrate		2/26/2024	Treatment of Pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	SN BioScience Inc.
bispecific anti-GD2/anti-B7-H3 monoclonal antibody		2/26/2024	Treatment of Neuroblastoma	Designated	Not FDA Approved for Orphan Indication	Invenra Inc.
a humanized anti-CD3/CD19 bispecific antibody		2/26/2024	Treatment of Acute Lymphocytic Leukemia (ALL)	Designated	Not FDA Approved for Orphan Indication	"Curon Biopharmaceutical (Shanghai) Co., Limited"
immunomodulatory inhibitor of high mobility group box 1		2/22/2024	Treatment of Idiopathic Pulmonary Fibrosis (IPF)	Designated	Not FDA Approved for Orphan Indication	"Spark Biopharma, Inc."
autologous logic-gated Tmod chimeric antigen receptor (CAR) T cells expressing a carcinoembryonic antigen targeted CAR activator and a human leukocyte antigen serotype A*02 (HLA-A*02) targeted blocker		2/22/2024	Treatment of germline heterozygous HLA-A*02(+) patients with colorectal cancer that expresses CEA and has lost HLA A*02 expression	Designated	Not FDA Approved for Orphan Indication	"A2 Biotherapeutics, Inc."
